date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1905-02-12,,France,Switzerland,1,0,Friendly,Paris,France,FALSE,1,0,0,0
1908-03-08,,Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE,4,0,0,0
1908-04-05,,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,FALSE,12,0,0,0
1909-04-04,,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,FALSE,13,0,0,0
1910-04-03,,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,FALSE,18,0,0,0
1911-01-08,,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,FALSE,20,0,0,0
1911-03-26,,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,FALSE,28,0,0,0
1911-04-23,,Switzerland,France,5,2,Friendly,Geneva,Switzerland,FALSE,35,0,0,0
1911-05-07,,Italy,Switzerland,2,2,Friendly,Milan,Italy,FALSE,39,0,0,0
1911-05-21,,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,FALSE,42,0,0,0
1911-10-29,,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,FALSE,51,0,0,0
1912-02-18,,France,Switzerland,4,1,Friendly,Saint-Ouen,France,FALSE,56,0,0,0
1912-02-20,,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,FALSE,67,0,0,0
1912-05-05,,Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,FALSE,70,0,0,0
1913-03-09,,Switzerland,France,1,4,Friendly,Geneva,Switzerland,FALSE,75,0,0,0
1913-05-04,,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,FALSE,78,0,0,0
1913-05-18,,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,FALSE,81,0,0,0
1913-11-02,,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium,FALSE,83,0,0,0
1914-03-08,,France,Switzerland,2,2,Friendly,Saint-Ouen,France,FALSE,87,0,0,0
1914-04-05,,Italy,Switzerland,1,1,Friendly,Genoa,Italy,FALSE,89,0,0,0
1914-05-17,,Switzerland,Italy,0,1,Friendly,Berne,Switzerland,FALSE,90,0,0,0
1915-01-31,,Italy,Switzerland,3,1,Friendly,Turin,Italy,FALSE,94,0,0,0
1917-12-23,,Switzerland,Austria,0,1,Friendly,Basel,Switzerland,FALSE,95,0,0,0
1917-12-26,,Switzerland,Austria,3,2,Friendly,Zürich,Switzerland,FALSE,100,0,0,0
1918-05-09,,Austria,Switzerland,5,1,Friendly,Vienna,Austria,FALSE,106,0,0,0
1918-05-12,,Hungary,Switzerland,2,1,Friendly,Budapest,Hungary,FALSE,109,0,0,0
1920-02-29,,Switzerland,France,0,2,Friendly,Geneva,Switzerland,FALSE,111,0,0,0
1920-03-28,,Switzerland,Italy,3,0,Friendly,Berne,Switzerland,FALSE,114,0,0,0
1920-05-16,,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,FALSE,117,0,0,0
1920-06-06,,Sweden,Switzerland,0,1,Friendly,Stockholm,Sweden,FALSE,118,0,0,0
1920-06-27,,Switzerland,Germany,4,1,Friendly,Zürich,Switzerland,FALSE,123,0,0,0
1921-03-06,,Italy,Switzerland,2,1,Friendly,Milan,Italy,FALSE,126,0,0,0
1921-05-01,,Switzerland,Austria,2,2,Friendly,St. Gallen,Switzerland,FALSE,130,0,0,0
1921-11-06,,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,FALSE,132,0,0,0
1922-03-26,,Germany,Switzerland,2,2,Friendly,Frankfurt am Main,Germany,FALSE,136,0,0,0
1922-06-11,,Austria,Switzerland,7,1,Friendly,Vienna,Austria,FALSE,144,0,0,0
1922-06-15,,Hungary,Switzerland,1,1,Friendly,Budapest,Hungary,FALSE,146,0,0,0
1922-11-19,,Switzerland,Netherlands,5,0,Friendly,Berne,Switzerland,FALSE,151,0,0,0
1922-12-03,,Italy,Switzerland,2,2,Friendly,Bologna,Italy,FALSE,155,0,0,0
1923-01-21,,Switzerland,Austria,2,0,Friendly,Geneva,Switzerland,FALSE,157,0,0,0
1923-03-11,,Switzerland,Hungary,1,6,Friendly,Lausanne,Switzerland,FALSE,164,0,0,0
1923-04-22,,France,Switzerland,2,2,Friendly,Vincennes,France,FALSE,168,0,0,0
1923-06-03,,Switzerland,Germany,1,2,Friendly,Basel,Switzerland,FALSE,171,0,0,0
1923-06-17,,Denmark,Switzerland,3,2,Friendly,Copenhagen,Denmark,FALSE,176,0,0,0
1923-06-21,,Norway,Switzerland,2,2,Friendly,Kristiania,Norway,FALSE,180,0,0,0
1923-11-25,,Netherlands,Switzerland,4,1,Friendly,Amsterdam,Netherlands,FALSE,185,0,0,0
1924-03-23,,Switzerland,France,3,0,Friendly,Geneva,Switzerland,FALSE,188,0,0,0
1924-04-21,,Switzerland,Denmark,2,0,Friendly,Basel,Switzerland,FALSE,190,0,0,0
1924-05-18,,Switzerland,Hungary,4,2,Friendly,Zürich,Switzerland,FALSE,196,0,0,0
1924-12-14,,Germany,Switzerland,1,1,Friendly,Stuttgart,Germany,FALSE,198,0,0,0
1925-03-22,,Austria,Switzerland,2,0,Friendly,Vienna,Austria,FALSE,200,0,0,0
1925-03-25,,Hungary,Switzerland,5,0,Friendly,Budapest,Hungary,FALSE,205,0,0,0
1925-04-19,,Switzerland,Netherlands,4,1,Friendly,Zürich,Switzerland,FALSE,210,0,0,0
1925-05-24,,Switzerland,Belgium,0,0,Friendly,Lausanne,Switzerland,FALSE,210,0,0,0
1925-06-01,,Switzerland,Spain,0,3,Friendly,Berne,Switzerland,FALSE,213,0,0,0
1925-10-25,,Switzerland,Germany,0,4,Friendly,Basel,Switzerland,FALSE,217,0,0,0
1925-11-08,,Switzerland,Austria,2,0,Friendly,Berne,Switzerland,FALSE,219,0,0,0
1926-03-28,,Netherlands,Switzerland,5,0,Friendly,Amsterdam,Netherlands,FALSE,224,0,0,0
1926-04-18,,Switzerland,Italy,1,1,Friendly,Zürich,Switzerland,FALSE,226,0,0,0
1926-04-25,,France,Switzerland,1,0,Friendly,Colombes,France,FALSE,227,0,0,0
1926-05-09,,Italy,Switzerland,3,2,Friendly,Milan,Italy,FALSE,232,0,0,0
1926-10-10,,Austria,Switzerland,7,1,Friendly,Vienna,Austria,FALSE,240,0,0,0
1926-12-12,,Germany,Switzerland,2,3,Friendly,Munich,Germany,FALSE,245,0,0,0
1927-01-30,,Switzerland,Italy,1,5,Friendly,Geneva,Switzerland,FALSE,251,0,0,0
1927-04-17,,Spain,Switzerland,1,0,Friendly,Santander,Spain,FALSE,252,0,0,0
1927-05-29,,Switzerland,Austria,1,4,Friendly,Zürich,Switzerland,FALSE,257,0,0,0
1927-11-06,,Switzerland,Sweden,2,2,Friendly,Zürich,Switzerland,FALSE,261,0,0,0
1928-01-01,,Italy,Switzerland,3,2,International Cup,Genoa,Italy,FALSE,266,0,0,0
1928-03-11,,Switzerland,France,4,3,Friendly,Lausanne,Switzerland,FALSE,273,0,0,0
1928-04-15,,Switzerland,Germany,2,3,Friendly,Berne,Switzerland,FALSE,278,0,0,0
1928-05-06,,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,FALSE,281,0,0,0
1928-08-17,,Belarus,Switzerland,6,3,Friendly,Moscow,Soviet Union,TRUE,290,0,0,0
1928-10-14,,Switzerland,Italy,2,3,International Cup,Zürich,Switzerland,FALSE,295,0,0,0
1928-10-28,,Austria,Switzerland,2,0,International Cup,Vienna,Austria,FALSE,297,0,0,0
1928-11-01,,Hungary,Switzerland,3,1,International Cup,Budapest,Hungary,FALSE,301,0,0,0
1929-02-10,,Germany,Switzerland,7,1,Friendly,Mannheim,Germany,FALSE,309,0,0,0
1929-03-17,,Netherlands,Switzerland,3,2,Friendly,Amsterdam,Netherlands,FALSE,314,0,0,0
1929-04-14,,Switzerland,Hungary,4,5,International Cup,Berne,Switzerland,FALSE,323,0,0,0
1929-05-05,,Switzerland,Czechoslovakia,1,4,International Cup,Lausanne,Switzerland,FALSE,328,0,0,0
1929-10-06,,Czechoslovakia,Switzerland,5,0,International Cup,Prague,Czechoslovakia,FALSE,333,0,0,0
1929-10-27,,Switzerland,Austria,1,3,International Cup,Berne,Switzerland,FALSE,337,0,0,0
1930-02-09,,Italy,Switzerland,4,2,Friendly,Rome,Italy,FALSE,343,0,0,0
1930-03-23,,France,Switzerland,3,3,Friendly,Colombes,France,FALSE,349,0,0,0
1930-04-13,,Switzerland,Hungary,2,2,Friendly,Basel,Switzerland,FALSE,353,0,0,0
1930-05-04,,Switzerland,Germany,0,5,Friendly,Zürich,Switzerland,FALSE,358,0,0,0
1930-06-15,,Sweden,Switzerland,1,0,Friendly,Stockholm,Sweden,FALSE,359,0,0,0
1930-06-19,,Norway,Switzerland,3,0,Friendly,Oslo,Norway,FALSE,362,0,0,0
1930-11-02,,Switzerland,Netherlands,6,3,Friendly,Zürich,Switzerland,FALSE,371,0,0,0
1931-03-29,,Switzerland,Italy,1,1,International Cup,Berne,Switzerland,FALSE,373,0,0,0
1931-04-12,,Hungary,Switzerland,6,2,International Cup,Budapest,Hungary,FALSE,381,0,0,0
1931-05-24,,Switzerland,Scotland,2,3,Friendly,Geneva,Switzerland,FALSE,386,0,0,0
1931-06-13,,Czechoslovakia,Switzerland,7,3,International Cup,Prague,Czechoslovakia,FALSE,396,0,0,0
1931-06-16,,Austria,Switzerland,2,0,Friendly,Vienna,Austria,FALSE,398,0,0,0
1931-11-29,,Switzerland,Austria,1,8,International Cup,Basel,Switzerland,FALSE,407,0,0,0
1931-12-06,,Belgium,Switzerland,2,1,Friendly,Brussels,Belgium,FALSE,410,0,0,0
1932-02-14,,Italy,Switzerland,3,0,International Cup,Naples,Italy,FALSE,413,0,0,0
1932-03-06,,Germany,Switzerland,2,0,Friendly,Leipzig,Germany,FALSE,415,0,0,0
1932-03-20,,Switzerland,France,3,3,Friendly,Berne,Switzerland,FALSE,421,0,0,0
1932-04-17,,Switzerland,Czechoslovakia,5,1,International Cup,Zürich,Switzerland,FALSE,427,0,0,0
1932-06-19,,Switzerland,Hungary,3,1,International Cup,Berne,Switzerland,FALSE,431,0,0,0
1932-10-23,,Austria,Switzerland,3,1,International Cup,Vienna,Austria,FALSE,435,0,0,0
1932-11-06,,Switzerland,Sweden,2,1,Friendly,Basel,Switzerland,FALSE,438,0,0,0
1933-01-22,,Netherlands,Switzerland,0,2,Friendly,Amsterdam,Netherlands,FALSE,440,0,0,0
1933-03-12,,Switzerland,Belgium,3,3,Friendly,Zürich,Switzerland,FALSE,446,0,0,0
1933-04-02,,Switzerland,Italy,0,3,International Cup,Geneva,Switzerland,FALSE,449,0,0,0
1933-05-07,,Switzerland,Yugoslavia,4,1,Friendly,Zürich,Switzerland,FALSE,454,0,0,0
1933-05-20,,Switzerland,England,0,4,Friendly,Berne,Switzerland,FALSE,458,0,0,0
