date;home_team;away_team;home_score;away_score;tournament;city;country;neutral;goals;victory;defeat;egality
12.02.05;France;Switzerland;1;0;Friendly;Paris;France;FALSE;1;0;0;0
08.03.08;Switzerland;France;1;2;Friendly;Geneva;Switzerland;FALSE;4;0;0;0
05.04.08;Switzerland;Germany;5;3;Friendly;Basel;Switzerland;FALSE;12;0;0;0
04.04.09;Germany;Switzerland;1;0;Friendly;Karlsruhe;Germany;FALSE;13;0;0;0
03.04.10;Switzerland;Germany;2;3;Friendly;Basel;Switzerland;FALSE;18;0;0;0
08.01.11;Switzerland;Hungary;2;0;Friendly;Zurich;Switzerland;FALSE;20;0;0;0
26.03.11;Germany;Switzerland;6;2;Friendly;Stuttgart;Germany;FALSE;28;0;0;0
23.04.11;Switzerland;France;5;2;Friendly;Geneva;Switzerland;FALSE;35;0;0;0
07.05.11;Italy;Switzerland;2;2;Friendly;Milan;Italy;FALSE;39;0;0;0
21.05.11;Switzerland;Italy;3;0;Friendly;La Chaux-de-Fonds;Switzerland;FALSE;42;0;0;0
29.10.11;Hungary;Switzerland;9;0;Friendly;Budapest;Hungary;FALSE;51;0;0;0
18.02.12;France;Switzerland;4;1;Friendly;Saint-Ouen;France;FALSE;56;0;0;0
20.02.12;Belgium;Switzerland;9;2;Friendly;Antwerp;Belgium;FALSE;67;0;0;0
05.05.12;Switzerland;Germany;1;2;Friendly;St. Gallen;Switzerland;FALSE;70;0;0;0
09.03.13;Switzerland;France;1;4;Friendly;Geneva;Switzerland;FALSE;75;0;0;0
04.05.13;Switzerland;Belgium;1;2;Friendly;Basel;Switzerland;FALSE;78;0;0;0
18.05.13;Germany;Switzerland;1;2;Friendly;Freiburg;Germany;FALSE;81;0;0;0
02.11.13;Belgium;Switzerland;2;0;Friendly;Verviers;Belgium;FALSE;83;0;0;0
08.03.14;France;Switzerland;2;2;Friendly;Saint-Ouen;France;FALSE;87;0;0;0
05.04.14;Italy;Switzerland;1;1;Friendly;Genoa;Italy;FALSE;89;0;0;0
17.05.14;Switzerland;Italy;0;1;Friendly;Berne;Switzerland;FALSE;90;0;0;0
31.01.15;Italy;Switzerland;3;1;Friendly;Turin;Italy;FALSE;94;0;0;0
23.12.17;Switzerland;Austria;0;1;Friendly;Basel;Switzerland;FALSE;95;0;0;0
26.12.17;Switzerland;Austria;3;2;Friendly;Zurich;Switzerland;FALSE;100;0;0;0
09.05.18;Austria;Switzerland;5;1;Friendly;Vienna;Austria;FALSE;106;0;0;0
12.05.18;Hungary;Switzerland;2;1;Friendly;Budapest;Hungary;FALSE;109;0;0;0
29.02.20;Switzerland;France;0;2;Friendly;Geneva;Switzerland;FALSE;111;0;0;0
28.03.20;Switzerland;Italy;3;0;Friendly;Berne;Switzerland;FALSE;114;0;0;0
16.05.20;Switzerland;Netherlands;2;1;Friendly;Basel;Switzerland;FALSE;117;0;0;0
06.06.20;Sweden;Switzerland;0;1;Friendly;Stockholm;Sweden;FALSE;118;0;0;0
27.06.20;Switzerland;Germany;4;1;Friendly;Zurich;Switzerland;FALSE;123;0;0;0
06.03.21;Italy;Switzerland;2;1;Friendly;Milan;Italy;FALSE;126;0;0;0
